TABLE_NAME,COLUMN_NAME,DATA_TYPE,CHARACTER_MAXIMUM_LENGTH,IS_NULLABLE,IS_PRIMARY_KEY
Users,Username,nvarchar,450,NO,
Users,PasswordHash,nvarchar,-1,NO,
Users,FirstName,nvarchar,-1,NO,
Users,LastName,nvarchar,-1,NO,
Users,Role,nvarchar,-1,NO,
Users,FailedLoginAttempts,int,NULL,NO,
Users,LockoutEnd,datetime2,NULL,YES,
Users,IsDisabled,bit,NULL,NO,
Warehouses,WarehouseId,nvarchar,450,NO,PK
Warehouses,Name,nvarchar,-1,NO,
Warehouses,Location,nvarchar,-1,NO,

(507 rows affected)
